,PSC,JUNTS,ERC,PP,VOX,COMUNS,CUP,ALIANÇA.CAT,Altres candidatures,Cs,Abstenció
1980,0.138185,0.171275,0.054873,0.014556,0.0,0.115557,0.0,0.0,0.117144,0.0,0.38841
1984,0.193811,0.301318,0.028411,0.049647,0.0,0.035962,0.0,0.0,0.031802,0.0,0.359048
1988,0.177197,0.272179,0.024616,0.031648,0.0,0.046166,0.0,0.0,0.039541,0.0,0.408652
1992,0.152089,0.255296,0.043962,0.032968,0.0,0.035913,0.0,0.0,0.025621,0.0,0.454152
1995,0.159822,0.263467,0.061096,0.084246,0.0,0.062607,0.0,0.0,0.005756,0.0,0.363006
1999,0.227821,0.226843,0.052261,0.057211,0.0,0.015129,0.0,0.0,0.016845,0.0,0.40389
2003,0.198586,0.196993,0.104874,0.075627,0.0,0.04648,0.0,0.0,0.008517,0.0,0.368922
2006,0.153722,0.180767,0.080571,0.06098,0.0,0.05476,0.0,0.0,0.013357,0.017425,0.438418
2010,0.111491,0.234199,0.04264,0.075148,0.0,0.044927,0.0,0.0,0.061473,0.020696,0.409426
2012,0.101217,0.215104,0.095984,0.091014,0.0,0.06938,0.024398,0.0,0.040548,0.053099,0.309256
2015,0.095612,0.177772,0.119819,0.063803,0.0,0.067168,0.06172,0.0,0.027295,0.134545,0.252267
2017,0.109923,0.171815,0.169573,0.033642,0.0,0.059135,0.035377,0.0,0.008989,0.201077,0.210469
2021,0.117794,0.102642,0.108946,0.019691,0.039241,0.035143,0.034168,0.0,0.021047,0.028534,0.492794
2024,0.155049,0.119717,0.075739,0.060989,0.044111,0.032376,0.022672,0.020932,0.016609,0.0,0.451805
