row,col,r,c,value,status
2024,"Nombre / electors",1,1,5754952,
2024,"Nombre / votants",1,2,3183137,
2024,"Vots / a candidatures",1,3,3120503,
2024,"Vots / blancs",1,4,35967,
2024,"Vots / nuls",1,5,26667,
2024,"Percentatge / participació",1,6,54.8,
2024,"Percentatge / abstenció",1,7,45.2,
2021,"Nombre / electors",2,1,5624067,
2021,"Nombre / votants",2,2,2884845,
2021,"Vots / a candidatures",2,3,2819328,
2021,"Vots / blancs",2,4,24087,
2021,"Vots / nuls",2,5,41430,
2021,"Percentatge / participació",2,6,51.3,
2021,"Percentatge / abstenció",2,7,48.7,
2017,"Nombre / electors",3,1,5554455,
2017,"Nombre / votants",3,2,4392891,
2017,"Vots / a candidatures",3,3,4357368,
2017,"Vots / blancs",3,4,19431,
2017,"Vots / nuls",3,5,16092,
2017,"Percentatge / participació",3,6,79.1,
2017,"Percentatge / abstenció",3,7,20.9,
2015,"Nombre / electors",4,1,5510853,
2015,"Nombre / votants",4,2,4130196,
2015,"Vots / a candidatures",4,3,4092349,
2015,"Vots / blancs",4,4,21895,
2015,"Vots / nuls",4,5,15952,
2015,"Percentatge / participació",4,6,74.9,
2015,"Percentatge / abstenció",4,7,25.1,
2012,"Nombre / electors",5,1,5257351,
2012,"Nombre / votants",5,2,3657753,
2012,"Vots / a candidatures",5,3,3572806,
2012,"Vots / blancs",5,4,52826,
2012,"Vots / nuls",5,5,32121,
2012,"Percentatge / participació",5,6,69.6,
2012,"Percentatge / abstenció",5,7,30.4,
2010,"Nombre / electors",6,1,5229873,
2010,"Nombre / votants",6,2,3135195,
2010,"Vots / a candidatures",6,3,3021460,
2010,"Vots / blancs",6,4,91475,
2010,"Vots / nuls",6,5,22260,
2010,"Percentatge / participació",6,6,60,
2010,"Percentatge / abstenció",6,7,40.1,
2006,"Nombre / electors",7,1,5212423,
2006,"Nombre / votants",7,2,2959450,
2006,"Vots / a candidatures",7,3,2885893,
2006,"Vots / blancs",7,4,60089,
2006,"Vots / nuls",7,5,13468,
2006,"Percentatge / participació",7,6,56.8,
2006,"Percentatge / abstenció",7,7,43.2,
2003,"Nombre / electors",8,1,5207420,
2003,"Nombre / votants",8,2,3300637,
2003,"Vots / a candidatures",8,3,3261741,
2003,"Vots / blancs",8,4,30160,
2003,"Vots / nuls",8,5,8736,
2003,"Percentatge / participació",8,6,63.4,
2003,"Percentatge / abstenció",8,7,36.6,
1999,"Nombre / electors",9,1,5206419,
1999,"Nombre / votants",9,2,3118410,
1999,"Vots / a candidatures",9,3,3081736,
1999,"Vots / blancs",9,4,28935,
1999,"Vots / nuls",9,5,7739,
1999,"Percentatge / participació",9,6,59.9,
1999,"Percentatge / abstenció",9,7,40.1,
1995,"Nombre / electors",10,1,5029717,
1995,"Nombre / votants",10,2,3218522,
1995,"Vots / a candidatures",10,3,3178235,
1995,"Vots / blancs",10,4,31393,
1995,"Vots / nuls",10,5,8894,
1995,"Percentatge / participació",10,6,64,
1995,"Percentatge / abstenció",10,7,36,
1992,"Nombre / electors",11,1,4816375,
1992,"Nombre / votants",11,2,2648172,
1992,"Vots / a candidatures",11,3,2605981,
1992,"Vots / blancs",11,4,31075,
1992,"Vots / nuls",11,5,11116,
1992,"Percentatge / participació",11,6,55,
1992,"Percentatge / abstenció",11,7,45,
1988,"Nombre / electors",12,1,4550969,
1988,"Nombre / votants",12,2,2703700,
1988,"Vots / a candidatures",12,3,2673123,
1988,"Vots / blancs",12,4,16922,
1988,"Vots / nuls",12,5,13655,
1988,"Percentatge / participació",12,6,59.4,
1988,"Percentatge / abstenció",12,7,40.6,
1984,"Nombre / electors",13,1,4494966,
1984,"Nombre / votants",13,2,2891663,
1984,"Vots / a candidatures",13,3,2861908,
1984,"Vots / blancs",13,4,14241,
1984,"Vots / nuls",13,5,15514,
1984,"Percentatge / participació",13,6,64.3,
1984,"Percentatge / abstenció",13,7,35.7,
1980,"Nombre / electors",14,1,4436463,
1980,"Nombre / votants",14,2,2725558,
1980,"Vots / a candidatures",14,3,2693986,
1980,"Vots / blancs",14,4,18004,
1980,"Vots / nuls",14,5,13568,
1980,"Percentatge / participació",14,6,61.4,
1980,"Percentatge / abstenció",14,7,38.6,
